#TAXONOMY,Kingdom,Phylum,Class,Order,Family,Genus
ASV5880,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,F082,unclassified
ASV2736,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,F082,unclassified
ASV4439,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,F082,unclassified
ASV2949,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,F082,unclassified
ASV8890,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,F082,unclassified
ASV1499,Bacteria,Bacteroidetes,Bacteroidia,unclassified,unclassified,unclassified
ASV2207,Bacteria,Bacteroidetes,Bacteroidia,unclassified,unclassified,unclassified
ASV557,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,unclassified,unclassified
ASV3053,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,F082,unclassified
ASV416,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,unclassified,unclassified
ASV5025,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,F082,unclassified
ASV8619,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,F082,unclassified
ASV1032,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,F082,unclassified
ASV1136,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,F082,unclassified
ASV2451,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,F082,unclassified
ASV2630,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,F082,unclassified
ASV1291,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,F082,unclassified
ASV1899,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,F082,unclassified
ASV2067,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,F082,unclassified
ASV1531,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,F082,unclassified
ASV316,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,F082,unclassified
ASV657,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,F082,unclassified
ASV241,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,F082,unclassified
ASV597,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,F082,unclassified
ASV588,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,F082,unclassified
ASV1099,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,F082,unclassified
ASV8996,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Blvii28_wastewater-sludge_group
ASV3299,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,unclassified,unclassified
ASV5477,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Blvii28_wastewater-sludge_group
ASV5482,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,unclassified
ASV9298,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,unclassified
ASV2194,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,unclassified
ASV7203,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,unclassified
ASV9341,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,unclassified,unclassified
ASV8457,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,p-251-o5,unclassified
ASV4978,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidetes_BD2-2,unclassified
ASV499,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidetes_BD2-2,unclassified
ASV2253,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
ASV7705,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
ASV3332,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
ASV5681,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
ASV7623,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
ASV6944,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
ASV2420,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
ASV5234,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
ASV5740,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
ASV8667,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
ASV7494,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
ASV8692,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter
ASV9432,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Arcticibacter
ASV1525,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Arcticibacter
ASV4699,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Arcticibacter
ASV878,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Arcticibacter
ASV1767,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,unclassified
ASV345,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pseudopedobacter
ASV8905,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter
ASV616,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
ASV4485,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
ASV5158,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
ASV6128,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
ASV331,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
ASV8346,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter
ASV9185,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter
ASV7813,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
ASV6061,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
ASV8549,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
ASV8177,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
ASV4774,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
ASV8067,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
ASV6849,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
ASV7344,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Nubsella
ASV9299,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Nubsella
ASV7452,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
ASV2488,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
ASV5670,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
ASV8927,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
ASV6694,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
ASV5857,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
ASV2596,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
ASV1502,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
ASV257,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
ASV8713,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Arcticibacter
ASV1187,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
ASV638,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,p-2534-18B5_gut_group,unclassified
ASV337,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,p-2534-18B5_gut_group,unclassified
ASV1557,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,p-2534-18B5_gut_group,unclassified
ASV725,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,p-2534-18B5_gut_group,unclassified
ASV7586,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,unclassified
ASV4922,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Mucinivorans
ASV6378,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Mucinivorans
ASV2948,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella
ASV7242,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,unclassified
ASV1667,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,unclassified
ASV789,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,unclassified
ASV3608,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV2294,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,unclassified
ASV2504,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV3947,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV3654,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,unclassified
ASV1988,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV4813,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV4593,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV2546,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV267,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV523,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV6044,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV4021,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV6976,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV3704,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV576,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV1651,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV1546,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV420,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV1393,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV6117,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV2418,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV4017,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV3215,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV3017,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV1818,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV808,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV4649,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV907,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV3695,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV279,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV1672,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV351,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV2578,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV2083,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV5464,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV3336,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV1681,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV2467,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV3646,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV2975,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV8055,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV7174,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV1887,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV518,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV800,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV1520,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV2440,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV1597,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV1134,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV1759,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV2109,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV2799,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
ASV688,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,unclassified,unclassified
ASV3952,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,GZKB124,unclassified
ASV159,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,M2PB4-65_termite_group,unclassified
ASV902,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,M2PB4-65_termite_group,unclassified
ASV1243,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,F082,unclassified
ASV3132,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,F082,unclassified
ASV5316,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,M2PB4-65_termite_group,unclassified
ASV6025,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales_BS11_gut_group,unclassified
ASV3668,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales_BS11_gut_group,unclassified
